output/FLOPS_DP_gw4a64fxlogin01_44.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |   50000000 |
output/FLOPS_DP_gw4a64fxlogin01_45.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    50000000 |
output/FLOPS_DP_gw4a64fxlogin01_46.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    50000000 |
output/FLOPS_DP_gw4a64fxlogin01_47.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    50000000 |
output/FLOPS_DP_gw4a64fxlogin01_4.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |   50000000 |
output/FLOPS_DP_gw4a64fxlogin01_5.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    50000000 |
output/FLOPS_DP_gw4a64fxlogin01_6.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    50000000 |
output/FLOPS_DP_gw4a64fxlogin01_7.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    50000000 |
output/FLOPS_DP_gw4a64fxlogin01_8.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |   50000000 |
output/FLOPS_DP_gw4a64fxlogin01_9.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    50000000 |
